title,year,kms_raw,price_raw,url,trim,color,steering_side,engine_fuel,vehicle_type,specs_detail
Porsche 918 Spyder,2015,"8,000 km","7,200,000 AED",https://auto.ae/dubai/sale/car/porsche/porsche-918-spyder-2015/id/211745/,Trim 918 Spyder,Grey,Left-Hand Drive,"4.6 l, 608 hp, Hybrid",N/A,European Specs
Avatr 06,2025,0 km,"170,000 AED",https://auto.ae/dubai/sale/car/avatr/avatr-06-2025/id/211741/,Trim Max Extended Range,Red,Left-Hand Drive,"1.5 l, 314 hp, Hybrid",Sedan,Chinese Specs
McLaren P1,2015,"2,000 km","10,200,000 AED",https://auto.ae/dubai/sale/car/mclaren/mclaren-p1-2015/id/211743/,Trim other,Grey,Left-Hand Drive,"3.8 l, 737 hp, Hybrid",Coupe,GCC Specs
Mercedes-Benz G-Class AMG 800 XLP II (W463),2020,"2,000 km","2,250,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-g-class-amg-ii-w463-2020/id/211284/,Trim other,Black,Left-Hand Drive,"4 l, 800 hp, Petrol",Pickup double cab,European Specs
Lamborghini Aventador SV I Facelift,2017,"13,000 km","1,470,000 AED",https://auto.ae/dubai/sale/car/lamborghini/lamborghini-aventador-i-facelift-2017/id/211231/,Trim SVJ,Black,Left-Hand Drive,"6.5 l, 740 hp, Petrol",Coupe,GCC Specs
Wuling Binguo,2024,0 km,"44,000 AED",https://auto.ae/dubai/sale/car/wuling/wuling-binguo-2024/id/211740/,Trim other,White,Left-Hand Drive,"30 kWt, Electric",Hatchback 5 dr.,Chinese Specs
Nissan Magnite I,2023,0 km,"44,000 AED",https://auto.ae/dubai/sale/car/nissan/nissan-magnite-i-2023/id/211731/,Trim other,Red,Right-Hand Drive,"1.0 l, 100 hp, Petrol",SUV 5 dr.,N/A
Nissan Navara (Frontier) IV (D23),2025,0 km,"93,500 AED",https://auto.ae/dubai/sale/car/nissan/nissan-navara-frontier-iv-d23-2025/id/211722/,Trim other,White,Left-Hand Drive,"2.5 l, 163 hp, Diesel",Pickup double cab Double-Cab,N/A
Toyota bZ3X,2025,0 km,"90,000 AED",https://auto.ae/dubai/sale/car/toyota/toyota-bz3x-2025/id/211720/,Trim 610 Max,Silver,Left-Hand Drive,"165 kWt, Electric",SUV 5 dr.,N/A
Nissan Magnite I,2023,0 km,"44,000 AED",https://auto.ae/dubai/sale/car/nissan/nissan-magnite-i-2023/id/211716/,Trim other,Silver,Right-Hand Drive,"1.0 l, 100 hp, Petrol",SUV 5 dr.,N/A
Nissan Magnite I,2023,0 km,"44,000 AED",https://auto.ae/dubai/sale/car/nissan/nissan-magnite-i-2023/id/211707/,Trim other,White,Right-Hand Drive,"1.0 l, 100 hp, Petrol",SUV 5 dr.,N/A
Suzuki Ciaz I Facelift,2025,0 km,"46,000 AED",https://auto.ae/dubai/sale/car/suzuki/suzuki-ciaz-i-facelift-2025/id/211700/,Trim other,Silver,Left-Hand Drive,"1.5 l, 105 hp, Petrol",Sedan,N/A
GMC Yukon IV (GMT K2UG),2019,"153,000 km","110,000 AED",https://auto.ae/sharjah/sale/car/gmc/gmc-yukon-iv-gmt-k2ug-2019/id/211658/,N/A,Black,Left-Hand Drive,"6.2 l, 420 hp, Petrol",SUV 5 dr.,GCC Specs
