title,year,kms_raw,price_raw,url,trim,color,steering_side,engine_fuel,vehicle_type,specs_detail
Rolls-Royce Ghost Black Badge II,2023,"10,000 km","1,049,000 AED",https://auto.ae/dubai/sale/car/rolls-royce/rolls-royce-ghost-ii-2023/id/204075/,Trim Individual,Orange,Left-Hand Drive,"6.7 l, 600 hp, Petrol",Sedan,GCC Specs
McLaren 570S,2018,"60,000 km","369,000 AED",https://auto.ae/dubai/sale/car/mclaren/mclaren-570s-2018/id/204038/,N/A,Red,Left-Hand Drive,"3.8 l, 570 hp, Petrol",N/A,GCC Specs
Cadillac Escalade V,2023,"39,000 km","325,000 AED",https://auto.ae/dubai/sale/car/cadillac/cadillac-escalade-v-2023/id/204036/,Trim Sport Platinum,Black,Left-Hand Drive,"6.2 l, 420 hp, Petrol",SUV 5 dr.,GCC Specs
Cadillac Escalade V,2022,"20,000 km","314,999 AED",https://auto.ae/dubai/sale/car/cadillac/cadillac-escalade-v-2022/id/204035/,Trim Sport Platinum,Black,Left-Hand Drive,"6.2 l, 420 hp, Petrol",SUV 5 dr.,GCC Specs
Chevrolet Corvette Stingray C8,2023,"40,000 km","299,999 AED",https://auto.ae/dubai/sale/car/chevrolet/chevrolet-corvette-c8-2023/id/204030/,Trim Stingray Z51 Performance Package,White,Left-Hand Drive,"6.2 l, 495 hp, Petrol",N/A,European Specs
Mercedes-Benz GLE Coupe AMG 53 AMG II (C167),2021,"50,000 km","288,999 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-gle-coupe-amg-ii-c167-2021/id/204023/,Trim GLE 53 4MATIC+,White,Left-Hand Drive,"3.0 l, 435 hp, Petrol",SUV 5 dr.,GCC Specs
Mercedes-Benz C-Class AMG 63 AMG S IV (W205),2018,"90,000 km","199,999 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-c-class-amg-iv-w205-2018/id/204022/,N/A,White,Left-Hand Drive,"4.0 l, 510 hp, Petrol",N/A,European Specs
Ford F-150 XIII Facelift,2020,"59,000 km","199,000 AED",https://auto.ae/dubai/sale/car/ford/ford-f-150-xiii-facelift-2020/id/204020/,N/A,White,Left-Hand Drive,"3.5 l, 450 hp, Petrol",Pickup double cab Super Crew,GCC Specs
Audi RS Q3 II (F3),2021,"99,000 km","199,000 AED",https://auto.ae/dubai/sale/car/audi/audi-rs-q3-ii-f3-2021/id/204018/,Trim RS Q3 TFSI,Grey,Left-Hand Drive,"2.5 l, 400 hp, Petrol",SUV 5 dr.,GCC Specs
Land Rover Defender 90 II,2022,"35,000 km","189,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-defender-ii-2022/id/204017/,N/A,Black,Left-Hand Drive,"3.0 l, 300 hp, Diesel",SUV 3 dr. 90,N/A
Porsche 718 Spyder GTS I (982),2019,"110,000 km","185,000 AED",https://auto.ae/dubai/sale/car/porsche/porsche-718-spyder-i-982-2019/id/204016/,N/A,Black,Left-Hand Drive,"4.0 l, 420 hp, Petrol",N/A,GCC Specs
Land Rover Range Rover SV IV Facelift,2018,"90,000 km","189,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-iv-facelift-2018/id/204014/,Trim SVAutobiography Dynamic Black,Black,Left-Hand Drive,"5.0 l, 565 hp, Petrol",SUV 5 dr.,N/A
GMC Yukon V,2023,"70,000 km","179,000 AED",https://auto.ae/dubai/sale/car/gmc/gmc-yukon-v-2023/id/204012/,Trim AT4,Black,Left-Hand Drive,"5.3 l, 360 hp, Petrol",SUV 5 dr.,GCC Specs
"BMW 4 Series 420i G22, G23, G26",2022,"99,000 km","179,000 AED",https://auto.ae/dubai/sale/car/bmw/bmw-4-series-g22-g23-g26-2022/id/204010/,Trim 420i,White,Left-Hand Drive,"2.0 l, 184 hp, Petrol",N/A,GCC Specs
Bentley Continental GT II Facelift,2016,"77,000 km","159,000 AED",https://auto.ae/dubai/sale/car/bentley/bentley-continental-gt-ii-facelift-2016/id/204009/,N/A,Black,Left-Hand Drive,"4.0 l, 507 hp, Petrol",Coupe,GCC Specs
Mercedes-Benz GLE Coupe AMG 43 AMG I (C292),2019,"119,000 km","135,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-gle-coupe-amg-i-c292-2019/id/204005/,Trim AMG GLE 43 4MATIC Special Edition,White,Left-Hand Drive,"3.0 l, 390 hp, Petrol",SUV 5 dr.,GCC Specs
Audi A8 Long 55 TFSI IV (D5),2019,"99,000 km","129,000 AED",https://auto.ae/dubai/sale/car/audi/audi-a8-iv-d5-2019/id/204003/,Trim Business 55 TFSI quattro tiptronic,Maroon,Left-Hand Drive,"3.0 l, 340 hp, Petrol",Sedan,GCC Specs
BMW X5 40i IV (G05/G18) Facelift,2023,"35,000 km","252,750 AED",https://auto.ae/dubai/sale/car/bmw/bmw-x5-iv-g05-facelift-2023/id/203994/,Trim xDrive40i M Sport,White,Left-Hand Drive,"3.0 l, 375 hp, Petrol",SUV 5 dr.,GCC Specs
BMW 7 Series 730i VI (G11/G12) Facelift,2020,"135,000 km","119,999 AED",https://auto.ae/dubai/sale/car/bmw/bmw-7-series-vi-g11g12-facelift-2020/id/204002/,Trim 730i M Sport Plus,Black,Left-Hand Drive,"2.0 l, 249 hp, Petrol",Sedan,GCC Specs
Mercedes-Benz GLC Coupe AMG 43 AMG I (C253),2017,"110,000 km","115,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-glc-coupe-amg-i-c253-2017/id/204000/,Trim AMG GLC 43 4MATIC Special Edition,White,Left-Hand Drive,"3.0 l, 367 hp, Petrol",SUV 5 dr.,GCC Specs
