iter	Passed	Remaining
747	18456	55567
748	18481	55543
749	18509	55528
750	18534	55504
751	18558	55477
752	18583	55455
753	18605	55420
754	18628	55393
755	18656	55375
756	18679	55347
757	18703	55320
758	18725	55289
759	18748	55257
760	18772	55233
761	18797	55206
762	18820	55179
763	18845	55154
764	18872	55137
765	18900	55121
766	18924	55095
767	18951	55076
768	18974	55049
769	19001	55030
770	19025	55003
771	19048	54973
772	19074	54954
773	19100	54931
774	19125	54907
775	19154	54897
776	19177	54865
777	19200	54837
778	19221	54802
779	19243	54771
780	19268	54746
781	19286	54702
782	19316	54692
783	19353	54703
784	19378	54678
785	19401	54650
786	19423	54617
787	19432	54548
788	19457	54526
789	19480	54495
790	19505	54471
791	19515	54407
792	19542	54387
793	19566	54361
794	19589	54332
795	19609	54296
796	19630	54262
797	19651	54226
798	19675	54200
799	19700	54177
800	19728	54161
801	19754	54141
802	19778	54112
803	19806	54098
804	19834	54083
805	19856	54049
806	19883	54033
807	19906	54002
808	19928	53971
809	19952	53946
810	19980	53929
811	20007	53910
812	20032	53889
813	20057	53864
814	20080	53834
815	20102	53803
816	20125	53773
817	20149	53748
818	20174	53724
819	20201	53706
820	20230	53692
821	20258	53678
822	20287	53663
823	20315	53648
824	20344	53636
825	20380	53639
826	20415	53643
827	20445	53632
828	20476	53623
829	20510	53623
830	20540	53612
831	20565	53588
832	20579	53537
833	20605	53514
834	20632	53496
835	20657	53471
836	20682	53448
837	20711	53433
838	20737	53414
839	20761	53387
840	20789	53369
841	20815	53348
842	20837	53316
843	20857	53281
844	20879	53249
845	20900	53213
846	20927	53195
847	20950	53168
848	20979	53152
849	21000	53120
850	21028	53101
851	21056	53086
852	21082	53065
853	21109	53045
854	21132	53017
855	21157	52992
856	21181	52966
857	21208	52946
858	21234	52925
859	21258	52898
860	21283	52874
861	21311	52857
862	21337	52837
863	21362	52813
864	21387	52789
865	21409	52758
866	21435	52734
867	21459	52709
868	21483	52682
869	21514	52674
870	21539	52649
871	21566	52629
872	21574	52564
873	21600	52542
874	21624	52516
875	21648	52489
876	21672	52463
877	21704	52455
878	21740	52459
879	21768	52442
880	21801	52436
881	21833	52431
