kms,vehicle_age,kms_per_year,horsepower_mid,engine_cc_mid,doors,cylinders,seating_capacity,brand,model,trim,fuel_type,body_type,steering_side,regional_specs,age_bucket,log_price
6800,2,3400.0,449.5,3249.5,4 door,6,5 Seater,Mercedes-Benz,GLC Coupe,GLC 43 AMG 4Matic,Petrol,Coupe,Left Hand,Japanese Specs,2-3,12.608202196848836
18000,2,9000.0,349.5,4000.0,4 door,6,5 Seater,Chevrolet,Tahoe,Other,Petrol,SUV,Left Hand,American Specs,2-3,12.190964083849376
126174,6,21029.0,249.5,2249.5,5+ doors,4,5 Seater,Mercedes-Benz,GLC,GLC 300,Petrol,SUV,Left Hand,American Specs,4-6,11.373674891823535
26,0,0.0,249.5,2249.5,5+ doors,4,5 Seater,Jetour,T2,Luxury,Petrol,SUV,Left Hand,GCC Specs,0-1,11.842236406331557
145000,9,16111.111111111111,149.5,1749.5,4 door,4,5 Seater,Kia,Cerato,LX Hatchback,Petrol,Hatchback,Left Hand,GCC Specs,7-10,10.106469212026385
72009,3,24003.0,249.5,3249.5,4 door,6,7 Seater,Toyota,Prado,EXR,Petrol,SUV,Left Hand,GCC Specs,2-3,11.767575435251748
106096,10,10609.6,149.5,1749.5,4 door,4,7 Seater,Kia,Sorento,SX,Petrol,SUV,Left Hand,American Specs,7-10,10.463131911491969
0,14,0.0,,3749.5,2 door,8,2 Seater,McLaren,P1,Other,Hybrid,SUV,Left Hand,GCC Specs,10+,16.001561947061912
280000,14,20000.0,249.5,2249.5,4 door,Unknown,5 Seater,BMW,7-Series,730Li,Petrol,Sedan,Left Hand,GCC Specs,10+,9.99884318585288
70170,8,8771.25,349.5,2749.5,2 door,4,2 Seater,Porsche,Boxster,GTS,Petrol,Soft Top Convertible,Left Hand,GCC Specs,7-10,12.425212191503038
240000,12,20000.0,149.5,1749.5,4 door,4,5 Seater,Nissan,Tiida,S,Petrol,Hatchback,Left Hand,GCC Specs,10+,9.510519035757246
7000,3,2333.333333333333,449.5,4000.0,2 door,8,2 Seater,Bentley,Continental,GT V8 S,Petrol,Soft Top Convertible,Left Hand,Other,2-3,13.70903942580019
40038,1,40038.0,149.5,1749.5,5+ doors,4,5 Seater,Ford,Territory,Trend,Petrol,SUV,Left Hand,GCC Specs,0-1,11.350418300109132
40000,3,13333.333333333334,249.5,2749.5,5+ doors,4,7 Seater,Nissan,Xterra,SE,Petrol,SUV,Left Hand,GCC Specs,2-3,11.38510345703214
115000,12,9583.333333333334,349.5,,4 door,6,5 Seater,Porsche,Panamera,Platinum Edition,Petrol,Sedan,Left Hand,GCC Specs,10+,11.277215789596893
135780,10,13578.0,349.5,2749.5,2 door,6,5 Seater,BMW,4-Series,435i Convertible,Petrol,Hard Top Convertible,Left Hand,GCC Specs,7-10,11.002116507732016
94906,5,18981.2,249.5,3749.5,5+ doors,6,5 Seater,Jeep,Wrangler Unlimited,Sport,Petrol,SUV,Left Hand,GCC Specs,4-6,11.661354090741
181000,14,12928.57142857143,249.5,3749.5,4 door,6,5 Seater,Dodge,Charger,SE,Petrol,Sedan,Left Hand,GCC Specs,10+,9.852246888342531
74000,4,18500.0,249.5,1749.5,4 door,3,5 Seater,Nissan,Rogue,Sport,Petrol,SUV,Left Hand,Other,4-6,10.799595985047786
8157,3,2719.0,,3749.5,2 door,8,2 Seater,Ferrari,SF90 Spider,Other,Hybrid,Hard Top Convertible,Left Hand,GCC Specs,2-3,14.368821368379384
225186,10,22518.6,449.5,4000.0,5+ doors,8,7 Seater,Cadillac,Escalade,Platinum,Petrol,SUV,Left Hand,GCC Specs,7-10,11.39640288460621
29414,2,14707.0,149.5,2749.5,4 door,4,5 Seater,Toyota,Hilux,Double Cab DLS,Diesel,SUV,Left Hand,GCC Specs,2-3,11.53273789613992
69000,3,23000.0,149.5,1749.5,4 door,4,7 Seater,Peugeot,5008,GT Line,Petrol,SUV,Left Hand,GCC Specs,2-3,11.225256725762891
140000,8,17500.0,349.5,2249.5,2 door,4,4 Seater,BMW,4-Series,420i Convertible,Petrol,Hard Top Convertible,Left Hand,GCC Specs,7-10,11.141876276228
8000,1,8000.0,349.5,3249.5,5+ doors,6,5 Seater,Land Rover,Range Rover,SE,Petrol,SUV,Left Hand,GCC Specs,0-1,13.292951364319082
160000,13,12307.692307692309,149.5,1749.5,4 door,4,5 Seater,Toyota,Corolla,Base,Petrol,Sedan,Left Hand,Japanese Specs,10+,9.87822102528824
