brand,model,kms,trim,doors,fuel_type,cylinders,body_type,seating_capacity,steering_side,regional_specs,vehicle_age,horsepower_mid,engine_cc_mid,kms_per_year,log_price,age_bucket
Mitsubishi,Lancer EX,186000,GLX,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,11,149.5,2249.5,16909.090909090908,9.99884318585288,10+
BMW,3-Series,175000,316i,4 door,Petrol,4,Sedan,,Left Hand,GCC Specs,11,149.5,,15909.09090909091,10.25769445336048,10+
Nissan,Patrol,342000,SE,4 door,Petrol,8,SUV,8+ Seater,Left Hand,GCC Specs,11,349.5,3249.5,31090.909090909092,10.915106645867503,10+
Nissan,Navara,102995,PRO-4X,4 door,Petrol,6,Pick Up Truck,5 Seater,Left Hand,Canadian Specs,4,349.5,3749.5,25748.75,11.402005077384883,4-6
Porsche,Macan,36900,Standard,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,3,249.5,2249.5,12300.0,12.345404060459082,2-3
BYD,Leopard,20,Titanium 7 Ultra Edition,5+ doors,Hybrid,4,SUV,5 Seater,Left Hand,Chinese Specs,1,449.5,1249.5,20.0,11.736077016252437,0-1
Mercedes-Benz,CLA,20,CLA200,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,0,149.5,1249.5,20.0,12.180759965737863,0-1
Ford,F-Series Pickup,222000,Raptor,4 door,Petrol,8,Pick Up Truck,5 Seater,Left Hand,American Specs,15,449.5,4000.0,14800.0,10.985309671896763,10+
Kia,Seltos,51000,EX,5+ doors,Petrol,4,Crossover,5 Seater,Left Hand,GCC Specs,3,149.5,1749.5,17000.0,10.968215530759236,2-3
Ford,F-Series,161000,Other,4 door,Petrol,6,SUV,5 Seater,Left Hand,American Specs,7,649.5,2749.5,23000.0,11.134603622683905,7-10
Toyota,Sienna,105156,Other,4 door,Petrol,6,Van,7 Seater,Left Hand,Korean Specs,14,249.5,3749.5,7511.142857142857,10.34177474101152,10+
Tesla,Model 3,125000,Performance,4 door,Electric,Unknown,Sedan,5 Seater,Left Hand,GCC Specs,6,349.5,249.5,20833.33333333333,11.283524879179666,4-6
Honda,Accord,191000,Limited,5+ doors,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,14,249.5,2249.5,13642.857142857143,9.90353755128617,10+
MINI,Countryman,130000,S,4 door,Petrol,4,Crossover,5 Seater,Left Hand,Other,7,149.5,1749.5,18571.42857142857,10.714439990727769,7-10
Land Rover,Range Rover Evoque,199000,Dynamic,4 door,Petrol,4,SUV,,Left Hand,GCC Specs,8,249.5,,24875.0,10.789339695269716,7-10
Mercedes-Benz,E-Class,2566,AMG E 63 S,4 door,Petrol,8,Sedan,5 Seater,Left Hand,Japanese Specs,8,649.5,4000.0,320.75,12.594730635321955,7-10
Kia,Sportage,183000,Other,4 door,Petrol,4,Crossover,5 Seater,Left Hand,GCC Specs,12,149.5,2249.5,15250.0,10.184937747111393,10+
Toyota,Corolla,0,Other,4 door,Hybrid,4,Sedan,5 Seater,Left Hand,Chinese Specs,1,249.5,1749.5,0.0,10.933124826700707,0-1
Mercedes-Benz,S-Class,76000,S 450,4 door,Petrol,6,Sedan,5 Seater,Left Hand,Japanese Specs,7,349.5,2749.5,10857.142857142857,12.07254696717504,7-10
Rolls-Royce,Wraith,117000,Standard,2 door,Petrol,12,Coupe,,Left Hand,GCC Specs,12,649.5,,9750.0,12.791080452981857,10+
Renault,Duster,144875,Other,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,8,149.5,1749.5,18109.375,9.741027444837728,7-10
Tesla,Model Y,0,Long Range,4 door,Electric,,SUV,5 Seater,Left Hand,Chinese Specs,1,549.5,,0.0,12.055255569732177,0-1
Porsche,Cayenne,163000,S,5+ doors,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,13,349.5,4000.0,12538.461538461539,10.714439990727769,10+
Nissan,Patrol,178000,SE,5+ doors,Petrol,8,SUV,7 Seater,Left Hand,GCC Specs,14,349.5,4000.0,12714.285714285714,10.5713425658087,10+
Tesla,Model 3,170000,Long Range,4 door,Electric,,Sedan,5 Seater,Left Hand,GCC Specs,4,249.5,,42500.0,11.251573687764477,4-6
Toyota,Raize,16000,TURBO G,4 door,Petrol,3,SUV,5 Seater,Left Hand,GCC Specs,3,149.5,249.5,5333.333333333333,10.584081267024454,2-3
BMW,7-Series,96468,750Li,4 door,Petrol,8,Sedan,5 Seater,Left Hand,GCC Specs,10,449.5,4000.0,9646.8,11.082157933374816,7-10
Mercedes-Benz,GLS-Class,4977,GLS 63 AMG,5+ doors,Petrol,8,SUV,7 Seater,Left Hand,Japanese Specs,2,649.5,4000.0,2488.5,13.23551526136861,2-3
Lexus,GX 550,16000,Luxury,4 door,Petrol,6,SUV,7 Seater,Left Hand,American Specs,2,349.5,2749.5,8000.0,12.759960632315702,2-3
Mercedes-Benz,A-Class,140000,A 250 Sport,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,7,249.5,2249.5,20000.0,11.141876276228,7-10
Mercedes-Benz,E-Class,247125,E 300,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,15,249.5,3249.5,16475.0,9.846970109700957,10+
Toyota,Fortuner,59392,EXR,5+ doors,Petrol,4,SUV,,Left Hand,GCC Specs,3,249.5,,19797.333333333332,11.560772327227417,2-3
Nissan,Murano,215000,SV,5+ doors,Petrol,6,Crossover,5 Seater,Left Hand,GCC Specs,19,249.5,3249.5,11315.78947368421,8.968396191198256,10+
Mercedes-Benz,S-Class,94090,S 500,5+ doors,Petrol,,Sedan,5 Seater,Left Hand,Japanese Specs,29,,,3244.4827586206898,11.184435286790631,10+
Infiniti,JX-Series,257000,Luxury,4 door,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,13,249.5,3249.5,19769.23076923077,10.043292972227004,10+
Jeep,Wrangler,127000,Sahara,2 door,Petrol,6,Hard Top Convertible,4 Seater,Left Hand,American Specs,21,,,6047.619047619048,9.99884318585288,10+
MG,Whale,2000,Luxury,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,2,249.5,1749.5,1000.0,11.350418300109132,2-3
Mercedes-Benz,GLE Coupe,60290,GLE 53 AMG,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,5,449.5,3249.5,12058.0,12.54254845357358,4-6
Kia,Sportage,181000,EX,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,12,249.5,2249.5,15083.333333333334,10.221977646629885,10+
Nissan,Maxima,79000,SR,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,5,349.5,3749.5,15800.0,11.127277689932466,4-6
Volkswagen,Passat,143500,Comfortline,4 door,Petrol,5,Sedan,5 Seater,Left Hand,GCC Specs,12,249.5,2249.5,11958.333333333334,9.680406499268875,10+
Toyota,Rav 4,220000,GX,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,17,149.5,,12941.176470588236,10.085850775128717,10+
Porsche,Cayenne,90000,S,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,Japanese Specs,18,349.5,3749.5,5000.0,9.79540110267107,10+
JAC,JS6,17939,Flagship,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,2,149.5,1749.5,8969.5,10.97337452485014,2-3
Ford,Ranger,177500,XLS,4 door,Diesel,4,SUV,5 Seater,Left Hand,GCC Specs,6,,,29583.333333333332,10.789339695269716,4-6
Kia,Sportage,220000,LX,4 door,Petrol,4,Sedan,5 Seater,Left Hand,American Specs,9,149.5,2249.5,24444.444444444445,10.184937747111393,7-10
Mazda,CX-5,89927,GL,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,3,,2749.5,29975.666666666668,11.082142548877775,2-3
Renault,Arkana,6,Esprit Alpine,4 door,Petrol,4,Crossover,5 Seater,Left Hand,GCC Specs,1,149.5,1249.5,6.0,11.350406535472453,0-1
Jeep,Grand Cherokee,213450,Summit,5+ doors,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,12,349.5,4000.0,17787.5,10.27163147557801,10+
Toyota,Camry,235000,XLE,5+ doors,Hybrid,4,Sedan,5 Seater,Left Hand,Korean Specs,14,249.5,2249.5,16785.714285714286,10.239995502805316,10+
Kia,Sportage,95000,LX,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,6,149.5,2249.5,15833.333333333334,10.757902880692196,4-6
Ferrari,Portofino,60000,Standard,2 door,Petrol,8,Hard Top Convertible,4 Seater,Left Hand,GCC Specs,6,649.5,3749.5,10000.0,13.296318365198623,4-6
Porsche,Macan,21000,Electric,4 door,Electric,Unknown,SUV,5 Seater,Left Hand,GCC Specs,1,349.5,,21000.0,12.703816069256568,0-1
Mazda,6,57686,V Grade,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,2,149.5,,28843.0,11.110969193687714,2-3
Land Rover,Defender,60000,110 HSE (P400),4 door,Petrol,6,SUV,5 Seater,Left Hand,Canadian Specs,6,449.5,3249.5,10000.0,12.154784614286667,4-6
GAC,GS3,11,EMZOOM GB AT,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,0,,1749.5,11.0,10.968198289528557,0-1
Toyota,Land Cruiser 79 series,7,Other,4 door,Petrol,6,Pick Up Truck,5 Seater,Left Hand,Other,2,249.5,4000.0,3.5,12.468440756144114,2-3
Honda,HR-V,69000,LX,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,6,149.5,1749.5,11500.0,10.714439990727769,4-6
Toyota,Tacoma,50000,Other,4 door,Petrol,6,Pick Up Truck,5 Seater,Left Hand,American Specs,3,249.5,3749.5,16666.666666666668,11.561725152903833,2-3
Mercedes-Benz,EQE,3600,Other,4 door,Electric,8,Sedan,5 Seater,Left Hand,Japanese Specs,3,649.5,,1200.0,12.425212191503038,2-3
BMW,X5,22,xDrive40i M Sport,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,1,349.5,3249.5,22.0,12.873648139727594,0-1
Toyota,Hiace,178000,GLS,4 door,Petrol,4,Van,8+ Seater,Left Hand,GCC Specs,10,149.5,2249.5,17800.0,11.225256725762891,7-10
Ferrari,812 GTS,10043,GTS,2 door,Petrol,12,Hard Top Convertible,2 Seater,Left Hand,GCC Specs,3,749.5,4000.0,3347.6666666666665,14.430156051201998,2-3
Mitsubishi,Attrage,179200,GLS,3 door,Petrol,3,Sedan,5 Seater,Left Hand,GCC Specs,4,149.5,1249.5,44800.0,9.975854724662028,4-6
Porsche,Cayman,68289,GTS,2 door,Petrol,4,Coupe,2 Seater,Left Hand,GCC Specs,7,349.5,2749.5,9755.57142857143,12.464587201678082,7-10
BMW,7-Series,260000,740Li xDrive,4 door,Petrol,6,Sedan,5 Seater,Left Hand,Korean Specs,15,349.5,3249.5,17333.333333333332,10.021315031649332,10+
Toyota,Camry,150000,GL,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,15,49.5,2249.5,10000.0,9.741027444837728,10+
Land Rover,Range Rover,68337,Autobiography,5+ doors,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,3,549.5,4000.0,22779.0,13.171155446333852,2-3
Lexus,IS-Series,220000,IS 350 F Sport,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,10,249.5,,22000.0,10.915106645867503,7-10
Li Auto,Mega,0,Other,5+ doors,Electric,,Van,,Left Hand,Chinese Specs,1,549.5,,0.0,12.762830066509972,0-1
Lexus,LX-Series,0,LX 600 VIP,5+ doors,Petrol,6,SUV,4 Seater,Left Hand,GCC Specs,1,449.5,3749.5,0.0,13.3374763699232,0-1
Volkswagen,Teramont,24767,Trendline,5+ doors,Petrol,4,SUV,7 Seater,Left Hand,GCC Specs,2,149.5,2249.5,12383.5,11.774527900858468,2-3
Land Rover,Defender,52499,90 HSE,3 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,3,349.5,3249.5,17499.666666666668,12.611541086966115,2-3
Toyota,Fortuner,108189,EXR,5+ doors,Petrol,4,SUV,7 Seater,Left Hand,GCC Specs,11,249.5,2249.5,9835.363636363636,10.859018228147887,10+
Porsche,Carrera / 911,2543,Targa 4 GTS,2 door,Petrol,6,Soft Top Convertible,4 Seater,Left Hand,Japanese Specs,3,449.5,3249.5,847.6666666666666,13.429702478318,2-3
Lexus,LX-Series,110000,LX 570 Platinum,4 door,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,10,449.5,,11000.0,12.301387370778713,7-10
MG,GT,40992,Luxury,5+ doors,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,2,149.5,1249.5,20496.0,10.714439990727769,2-3
BMW,X2,0,sDrive 18i,4 door,Petrol,4,Coupe,5 Seater,Left Hand,GCC Specs,1,349.5,2749.5,0.0,12.180759965737863,0-1
Toyota,Camry,74000,XSE,4 door,Petrol,4,Sedan,5 Seater,Left Hand,American Specs,4,149.5,2249.5,18500.0,11.042937835596494,4-6
Hyundai,Santa Fe,68000,Other,4 door,Petrol,6,SUV,7 Seater,Left Hand,American Specs,8,249.5,3249.5,8500.0,10.545367754151743,7-10
Mitsubishi,Outlander,80,Other,4 door,Petrol,4,SUV,7 Seater,Left Hand,GCC Specs,1,149.5,2249.5,80.0,11.53273789613992,0-1
BMW,5-Series,195000,530i,4 door,Petrol,4,Sedan,4 Seater,Left Hand,American Specs,8,249.5,,24375.0,10.968215530759236,7-10
Nissan,Rogue,200000,SV,4 door,Petrol,4,SUV,5 Seater,Left Hand,American Specs,11,249.5,2249.5,18181.81818181818,9.975854724662028,10+
Dodge,Challenger,113214,Base,4 door,Petrol,6,Coupe,4 Seater,Left Hand,American Specs,11,249.5,3749.5,10292.181818181818,10.53212287826962,10+
Suzuki,Eeco,10,GL,2 door,Petrol,4,Van,2 Seater,Left Hand,Other,0,49.5,1249.5,0.0,10.292179440058462,0-1
Nissan,Tiida,327000,SL,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,15,149.5,1749.5,21800.0,9.210440366976515,10+
Porsche,Carrera / 911,30100,GT3,2 door,Petrol,6,Sports Car,2 Seater,Left Hand,GCC Specs,4,549.5,4000.0,7525.0,13.471612215950506,4-6
Nissan,Patrol,199211,LE Titanium,5+ doors,Petrol,8,SUV,8 Seater,Left Hand,GCC Specs,9,449.5,4000.0,22134.555555555555,11.156264806643742,7-10
Nissan,Maxima,185000,SV,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,10,349.5,3749.5,18500.0,10.275085591132717,7-10
Volkswagen,Teramont,83000,Comfortline,5+ doors,Petrol,4,SUV,7 Seater,Left Hand,GCC Specs,4,249.5,2249.5,20750.0,11.261266691695104,4-6
Nissan,Versa,70235,S,4 door,Petrol,4,Sedan,5 Seater,Left Hand,American Specs,8,149.5,1249.5,8779.375,9.741027444837728,7-10
Chevrolet,Trax,215750,LT,4 door,Petrol,4,Crossover,5 Seater,Left Hand,GCC Specs,7,149.5,1749.5,30821.42857142857,9.903487552536127,7-10
Nissan,Patrol,185000,LE,4 door,Petrol,8,SUV,7 Seater,Left Hand,GCC Specs,13,349.5,,14230.76923076923,10.819798284210286,10+
Toyota,Fortuner,0,VXR,4 door,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,1,349.5,4000.0,0.0,11.904974309480183,0-1
Lamborghini,Huracan,0,Sterrato,2 door,Petrol,10,Sports Car,2 Seater,Left Hand,European Specs,3,649.5,,0.0,14.594835893480763,2-3
Ferrari,SF90 Spider,30,Other,2 door,Petrol,8,Coupe,2 Seater,Left Hand,Other,3,950.0,,10.0,14.397726736475999,2-3
Jetour,T1,72,Luxury 4WD,5+ doors,Petrol,4,SUV,,Left Hand,GCC Specs,0,249.5,2249.5,72.0,11.643962499267984,0-1
Volkswagen,Transporter,100000,Other,5+ doors,Petrol,4,Van,6 Seater,Left Hand,American Specs,57,49.5,1749.5,1754.3859649122808,10.239995502805316,10+
Peugeot,3008,0,Other,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,1,149.5,1749.5,0.0,11.141876276228,0-1
Mitsubishi,Pajero,9400,Signature Edition,5+ doors,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,6,249.5,3749.5,1566.6666666666667,11.225256725762891,4-6
Mercedes-Benz,GLC,129326,GLC 250 4MATIC,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,9,249.5,2249.5,14369.555555555555,11.156250521031495,7-10
BMW,5-Series,26802,520i,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,3,149.5,2249.5,8934.0,12.043553716032399,2-3
Lexus,LX-Series,193000,LX 570 Base,4 door,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,10,349.5,,19300.0,12.100717685412471,7-10
Toyota,Camry,0,LE,4 door,Hybrid,4,Sedan,5 Seater,Left Hand,GCC Specs,1,249.5,2749.5,0.0,11.661354090741,0-1
Kia,Optima,90000,Other,4 door,Petrol,4,Sedan,5 Seater,Left Hand,American Specs,5,149.5,2249.5,18000.0,10.239995502805316,4-6
Audi,TT,144592,45 TFSI,2 door,Petrol,4,Coupe,4 Seater,Left Hand,GCC Specs,8,249.5,2249.5,18074.0,11.277215789596893,7-10
Nissan,Patrol,2382,LEPro4X,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,0,449.5,3749.5,2382.0,12.676079399771027,0-1
Volvo,S90,27780,Ultimate Bright,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,3,,2249.5,9260.0,11.620882606475321,2-3
Mercedes-Benz,C-Class,125000,C230,4 door,Petrol,6,Sedan,5 Seater,Left Hand,Japanese Specs,19,249.5,2749.5,6578.9473684210525,9.472781556562168,10+
Toyota,Corolla,260000,Sport,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,14,249.5,1749.5,18571.42857142857,9.741027444837728,10+
Audi,SQ8,6000,4.0 TFSI Quattro,4 door,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,2,549.5,4000.0,3000.0,12.84265212010087,2-3
Audi,SQ5,29400,3.0 TFSI quattro S tronic,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,3,349.5,2249.5,9800.0,12.154779351142624,2-3
Jeep,Grand Wagoneer,18400,Series III,4 door,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,3,449.5,3249.5,6133.333333333333,12.487488878546143,2-3
BMW,X5,67367,xDrive40i M Sport,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,7,349.5,3249.5,9623.857142857143,11.813037464800539,7-10
Lamborghini,Aventador S,26000,Coupe,2 door,Petrol,12,Coupe,2 Seater,Left Hand,GCC Specs,9,449.5,,2888.8888888888887,13.81049902116535,7-10
Toyota,Corolla,383533,XLI,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,22,149.5,,17433.31818181818,9.61587214452889,10+
Mercedes-Benz,C-Class,119041,C250,2 door,Petrol,4,Coupe,4 Seater,Left Hand,GCC Specs,11,149.5,1749.5,10821.90909090909,10.591647316585028,10+
Lexus,IS-Series,97000,IS 250 Full Option,4 door,Petrol,4,Sedan,5 Seater,Left Hand,Japanese Specs,18,249.5,2749.5,5388.888888888889,10.203629181337648,10+
BMW,2-Series,29941,M 240i,2 door,Petrol,6,Coupe,4 Seater,Left Hand,GCC Specs,2,349.5,3249.5,14970.5,12.409017571151187,2-3
Land Rover,Range Rover Evoque,0,Other,4 door,Petrol,4,SUV,5 Seater,Left Hand,Other,1,249.5,2249.5,0.0,12.128111104060462,0-1
Nissan,Patrol,126441,LE Platinum,4 door,Petrol,8,SUV,7 Seater,Left Hand,GCC Specs,11,449.5,,11494.636363636364,11.19822841866684,10+
BMW,X2,25,2.0 M Sport,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,Other,0,249.5,2249.5,0.0,11.863589378812122,0-1
CMC,Veryca,174000,Other,4 door,Petrol,4,Van,5 Seater,Left Hand,GCC Specs,7,149.5,1249.5,24857.14285714286,9.825580063659602,7-10
Volkswagen,Tiguan,107000,R-line,4 door,Petrol,4,SUV,,Left Hand,GCC Specs,6,,,17833.333333333332,11.19822841866684,4-6
Mercedes-Benz,G-Class,158000,G 63 AMG,4 door,Petrol,8,SUV,,Left Hand,GCC Specs,13,549.5,,12153.846153846154,11.767575435251748,10+
Rolls-Royce,Dawn,60000,Other,2 door,Petrol,12,Soft Top Convertible,4 Seater,Left Hand,GCC Specs,7,549.5,4000.0,8571.42857142857,13.627976640389322,7-10
Hyundai,Elantra,0,Other,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,3,149.5,1749.5,0.0,11.002116507732016,2-3
Toyota,Land Cruiser,0,GXR 4.0L,4 door,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,0,249.5,4000.0,0.0,12.269052139516223,0-1
Bugatti,Chiron,5000,Other,2 door,Petrol,Unknown,Coupe,2 Seater,Left Hand,GCC Specs,7,,4000.0,714.2857142857143,16.418126240670524,7-10
Aston Martin,Vantage,26374,Standard (V8),2 door,Petrol,8,Coupe,2 Seater,Left Hand,GCC Specs,6,549.5,4000.0,4395.666666666667,12.969214528909768,4-6
Audi,S7/RS7,177060,4.0 TFSI Quattro Tiptronic,4 door,Petrol,8,Sedan,5 Seater,Left Hand,GCC Specs,11,449.5,4000.0,16096.363636363636,10.825780236605917,10+
Nissan,Patrol,212000,Nismo,4 door,Petrol,8,SUV,8 Seater,Left Hand,GCC Specs,9,449.5,4000.0,23555.555555555555,11.461642696843066,7-10
Mercedes-Benz,SEL-Class,91000,560 SEL,4 door,Petrol,8,Sedan,5 Seater,Left Hand,Japanese Specs,36,249.5,4000.0,2527.777777777778,11.561725152903833,10+
Infiniti,Q50,55464,Luxe,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,3,249.5,3249.5,18488.0,11.34922937229944,2-3
Toyota,Camry,0,Hybrid,4 door,Hybrid,4,Sedan,5 Seater,Left Hand,GCC Specs,1,249.5,,0.0,12.031725210748633,0-1
Ferrari,296 GTS,2376,Standard,2 door,Hybrid,6,Hard Top Convertible,2 Seater,Left Hand,European Specs,2,849.5,,1188.0,13.993657580167481,2-3
Mercedes-Benz,GLC,316,GLC 300 4MATIC,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,1,149.5,2249.5,316.0,12.627742412734824,0-1
Rolls-Royce,Wraith,45000,Standard,2 door,Petrol,12,Coupe,,Left Hand,GCC Specs,9,549.5,,5000.0,13.42246945133505,7-10
Jaguar,XJ,162000,Premium Luxury (Lwb),4 door,Petrol,6,Sedan,,Left Hand,GCC Specs,8,349.5,,20250.0,10.799595985047786,7-10
Ford,Ecosport,87724,Trend,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,8,149.5,1249.5,10965.5,9.99884318585288,7-10
Mercedes-Benz,CLK-Class,240000,CLK 200 Compressor,2 door,Petrol,4,Coupe,4 Seater,Left Hand,GCC Specs,19,149.5,1749.5,12631.578947368422,9.472781556562168,10+
Porsche,Cayenne,90000,Standard,4 door,Petrol,6,SUV,4 Seater,Left Hand,American Specs,5,349.5,,18000.0,11.775297421715827,4-6
Lotus,Emira,15397,First Edition,2 door,Petrol,4,Sports Car,,Left Hand,GCC Specs,2,349.5,,7698.5,12.779875885354993,2-3
Dodge,Ram,0,1500 Tungsten,4 door,Petrol,6,Pick Up Truck,5 Seater,Left Hand,GCC Specs,0,549.5,3249.5,0.0,12.672946381766982,0-1
Maserati,Ghibli,119000,S,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,11,349.5,3249.5,10818.181818181818,11.141876276228,10+
Ferrari,Purosangue,10,Other,5+ doors,Petrol,8,SUV,5 Seater,Left Hand,Other,1,749.5,,10.0,14.711598990684092,0-1
MINI,Countryman,5777,Cooper S,4 door,Petrol,4,SUV,5 Seater,Left Hand,American Specs,2,149.5,2249.5,2888.5,11.502885230075814,2-3
Jaguar,E-Pace,122987,P200 AWD,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,7,149.5,2249.5,17569.571428571428,10.915106645867503,7-10
Porsche,Cayenne,121874,S,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,7,449.5,2749.5,17410.571428571428,12.429220196836384,7-10
Jeep,Grand Cherokee,161437,Limited,5+ doors,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,8,349.5,4000.0,20179.625,10.985309671896765,7-10
Mercedes-Benz,G-Class,59000,G 63 AMG,4 door,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,6,549.5,4000.0,9833.333333333334,13.28787951079572,4-6
BMW,X4,26400,xDrive30i M Sport,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,1,249.5,1749.5,26400.0,12.388398368982115,0-1
BMW,4-Series,78500,430i Gran Coupe,5+ doors,Petrol,4,Coupe,5 Seater,Left Hand,GCC Specs,6,249.5,2249.5,13083.333333333334,11.466891997618188,4-6
RAM,1500,83000,Rebel Double Cab,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,Canadian Specs,5,449.5,3249.5,16600.0,11.350418300109132,4-6
Toyota,Corolla,296000,SE,5+ doors,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,11,249.5,,26909.090909090908,10.184937747111391,10+
Mercedes-Maybach,GLS-Class,620,GLS 600,4 door,Petrol,8,SUV,4 Seater,Left Hand,European Specs,1,549.5,4000.0,620.0,13.845070331079134,0-1
Volkswagen,Tiguan,60626,Life Plus,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,3,149.5,1249.5,20208.666666666668,11.300981463909618,2-3
Porsche,Boxster,90000,Spyder,2 door,Petrol,6,Soft Top Convertible,2 Seater,Left Hand,GCC Specs,13,249.5,2749.5,6923.076923076923,11.49273296168228,10+
Suzuki,Swift,200000,GL,4 door,Petrol,4,Hatchback,6 Seater,Left Hand,GCC Specs,13,49.5,1249.5,15384.615384615385,9.546884034617923,10+
Jeep,Wrangler Unlimited,138000,Sahara,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,6,249.5,3749.5,23000.0,11.695255355062796,4-6
GMC,Terrain,201000,SLE,4 door,Petrol,4,SUV,,Left Hand,GCC Specs,9,149.5,,22333.333333333332,9.99884318585288,7-10
Land Rover,Range Rover Evoque,144845,SE,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,9,249.5,2249.5,16093.888888888889,10.789339695269716,7-10
Nissan,Rogue,219000,SV,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,Korean Specs,10,149.5,2249.5,21900.0,9.928228944424575,7-10
Rolls-Royce,Spectre,30,Black Badge,2 door,Electric,,Coupe,4 Seater,Left Hand,Other,0,649.5,,30.0,14.452087916136215,0-1
Mercedes-Benz,S-Class,11883,S 63 AMG,4 door,Hybrid,8,Sedan,4 Seater,Left Hand,European Specs,2,749.5,4000.0,5941.5,13.52649559761195,2-3
Audi,A5,5812,2.0 TFSI,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,1,249.5,2249.5,5812.0,12.367345048436391,0-1
Hyundai,Accent,325000,GLS,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,14,149.5,1749.5,23214.285714285714,9.350189267092581,10+
Audi,Q7,155895,3.0 TFSI Quattro Tiptronic,5+ doors,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,13,349.5,3249.5,11991.923076923076,9.94755228369823,10+
Dodge,Charger,134000,SXT,4 door,Petrol,6,Sedan,5 Seater,Left Hand,American Specs,4,249.5,3749.5,33500.0,10.985309671896765,4-6
