brand,model,kms,trim,doors,fuel_type,cylinders,body_type,seating_capacity,steering_side,regional_specs,vehicle_age,horsepower_mid,engine_cc_mid,kms_per_year,log_price,age_bucket
Audi,Q6 e-tron,920,Premium Plus,4 door,Electric,,SUV,5 Seater,Left Hand,GCC Specs,1,349.5,,920.0,12.706547888433661,0-1
Mercedes-Benz,A-Class,26000,A 200,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,4,149.5,1249.5,6500.0,11.652696102959752,4-6
Bentley,Bentayga,25748,S,4 door,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,4,549.5,4000.0,6437.0,13.565767608549107,4-6
Nissan,X-Trail,136000,4WD,4 door,Petrol,Unknown,SUV,5 Seater,Left Hand,GCC Specs,11,149.5,2249.5,12363.636363636364,10.184937747111393,10+
Porsche,Carrera / 911,1859,Carrera S,2 door,Petrol,6,Sports Car,4 Seater,Left Hand,GCC Specs,1,449.5,3249.5,1859.0,13.513054553109397,0-1
Land Rover,Range Rover Sport,67000,SE,4 door,Diesel,6,SUV,5 Seater,Left Hand,Canadian Specs,5,349.5,3749.5,13400.0,11.736077016252437,4-6
Land Rover,Range Rover Sport,132400,HSE,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,7,349.5,,18914.285714285714,11.813037464800539,7-10
MG,MG5,6000,Other,4 door,Petrol,4,Sedan,4 Seater,Left Hand,GCC Specs,1,149.5,1249.5,6000.0,10.799595985047786,0-1
Lamborghini,Huracan,6700,LP 580-2 Spyder,2 door,Petrol,10,Soft Top Convertible,2 Seater,Left Hand,Japanese Specs,9,649.5,4000.0,744.4444444444445,13.507627138738266,7-10
Porsche,Carrera / 911,14100,Turbo S,2 door,Petrol,6,Coupe,4 Seater,Left Hand,European Specs,2,549.5,3749.5,7050.0,13.75894126467638,2-3
Land Rover,Range Rover Velar,179057,HSE,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,8,249.5,2249.5,22382.125,11.277215789596893,7-10
Mitsubishi,Pajero,150000,GLS Top 5 Door,5+ doors,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,17,249.5,2749.5,8823.529411764706,9.87822102528824,10+
Land Rover,Range Rover Sport,148000,SE,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,9,249.5,3249.5,16444.444444444445,11.154835234271214,7-10
Porsche,Panamera,94000,Standard,4 door,Petrol,6,Sedan,4 Seater,Left Hand,GCC Specs,5,349.5,3249.5,18800.0,12.384218830913648,4-6
Audi,A8,126000,,,,,,,,,5,,,25200.0,11.842236406331555,4-6
Jeep,Wrangler,9300,Sport,2 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,2,249.5,2249.5,4650.0,11.870606902224589,2-3
Ford,Edge,45810,Titanium,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,4,249.5,1749.5,11452.5,11.607790090984748,4-6
Land Rover,Range Rover Evoque,145019,PURE,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,8,249.5,2249.5,18127.375,11.002116507732017,7-10
Lexus,NX-Series,60653,NX 350H,4 door,Hybrid,4,SUV,5 Seater,Left Hand,GCC Specs,2,249.5,2249.5,30326.5,11.884495917930655,2-3
Land Rover,Defender,180000,90 SE,2 door,Petrol,4,SUV,5 Seater,Left Hand,Canadian Specs,5,249.5,2249.5,36000.0,11.884495917930655,4-6
Honda,Accord,70000,LX,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,4,149.5,1749.5,17500.0,11.289781913656018,4-6
Toyota,Fortuner,89000,EXR,5+ doors,Petrol,4,SUV,7 Seater,Left Hand,GCC Specs,5,149.5,2749.5,17800.0,11.407564949312402,4-6
Hyundai,Creta,0,Smart,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,1,149.5,1749.5,0.0,11.28966940732742,0-1
Volkswagen,Teramont,24250,Trendline,5+ doors,Petrol,4,SUV,7 Seater,Left Hand,GCC Specs,2,249.5,2249.5,12125.0,11.774527900858468,2-3
Chevrolet,Silverado,19000,1500 LT Trail Boss,4 door,Petrol,8,Pick Up Truck,5 Seater,Left Hand,Other,5,349.5,4000.0,3800.0,11.767575435251748,4-6
BMW,X3,0,Other,4 door,Petrol,4,SUV,5 Seater,Left Hand,Chinese Specs,0,149.5,2249.5,0.0,12.04355959836804,0-1
Land Rover,Defender,72617,110 HSE (P400),5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,2,449.5,3249.5,36308.5,12.733758336210744,2-3
Tesla,Model 3,325,Long Range,4 door,Electric,,Sedan,5 Seater,Left Hand,American Specs,1,449.5,,325.0,11.643962499267984,0-1
