brand,model,kms,trim,doors,fuel_type,cylinders,body_type,seating_capacity,steering_side,regional_specs,vehicle_age,horsepower_mid,engine_cc_mid,kms_per_year,age_bucket,price_aed
Alfa Romeo,Giulia,41745,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,3,249.5,2249.5,13915.0,2-3,139000.0
Alfa Romeo,Stelvio,15688,Veloce,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,3,249.5,1749.5,5229.333333333333,2-3,175000.0
Alfa Romeo,Stelvio,24322,Veloce,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,4,249.5,1749.5,6080.5,4-6,159900.0
Alfa Romeo,Tonale,2797,Veloce,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,2,249.5,1749.5,1398.5,2-3,139900.0
Alfa Romeo,Giulia,3298,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,2,249.5,1749.5,1649.0,2-3,189900.0
Alfa Romeo,Giulia,11394,Quadrifoglio,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,3,549.5,2749.5,3798.0,2-3,334999.0
Alfa Romeo,GIULIETTA,50297,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,10059.4,4-6,39950.0
Alfa Romeo,GIULIETTA,69130,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,13826.0,4-6,47000.0
Alfa Romeo,GIULIETTA,49794,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,9958.8,4-6,44000.0
Alfa Romeo,GIULIETTA,178000,Veloce,4 door,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,7,249.5,1749.5,25428.571428571428,7-10,28000.0
Alfa Romeo,GIULIETTA,60390,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,12078.0,4-6,39900.0
Alfa Romeo,GIULIETTA,60000,Veloce,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,12000.0,4-6,40000.0
Alfa Romeo,GIULIETTA,132164,Standard,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,11,149.5,1249.5,12014.90909090909,10+,19500.0
Alfa Romeo,Stelvio,106120,S,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,7,249.5,2249.5,15160.0,7-10,57000.0
Alfa Romeo,Stelvio,90422,Quadrifoglio,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,8,549.5,2749.5,11302.75,7-10,144999.0
Alfa Romeo,Giulia,44000,Quadrifoglio,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,5,549.5,2749.5,8800.0,4-6,255000.0
Alfa Romeo,GIULIETTA,116000,Premium,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,11,149.5,1249.5,10545.454545454546,10+,17000.0
Alfa Romeo,156/159,102000,TOP,4 door,Petrol,6,Sedan,4 Seater,Left Hand,GCC Specs,17,249.5,3249.5,6000.0,10+,22500.0
Alfa Romeo,GIULIETTA,60000,Veloce,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,8,249.5,1749.5,7500.0,7-10,45000.0
Alfa Romeo,Stelvio,30000,Veloce,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,3,249.5,2249.5,10000.0,2-3,149999.0
Alfa Romeo,Stelvio,51,Quadrifoglio,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,2,549.5,2749.5,25.5,2-3,455000.0
