brand,model,kms,trim,doors,fuel_type,cylinders,body_type,seating_capacity,steering_side,regional_specs,vehicle_age,horsepower_mid,engine_cc_mid,kms_per_year,log_price,age_bucket,raw_price
Alfa Romeo,Stelvio,198000,First Edition,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,8,249.5,2249.5,24750.0,10.915106645867503,7-10,55000
Alfa Romeo,Stelvio,58179,Super,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,6,249.5,2249.5,9696.5,11.350418300109132,4-6,84999
Alfa Romeo,GIULIETTA,76255,Premium,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,11,149.5,1249.5,6932.272727272727,9.846970109700957,10+,18900
Alfa Romeo,GIULIETTA,81841,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,16368.2,10.57390332109398,4-6,39099
Alfa Romeo,Giulia,34161,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,3,249.5,2249.5,11387.0,11.951186847493476,2-3,155000
Alfa Romeo,Giulia,41745,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,3,249.5,2249.5,13915.0,11.842236406331557,2-3,139000
Alfa Romeo,Stelvio,15688,Veloce,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,3,249.5,1749.5,5229.333333333333,12.07254696717504,2-3,175000
Alfa Romeo,Stelvio,24322,Veloce,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,4,249.5,1749.5,6080.5,11.982310152711182,4-6,159899
Alfa Romeo,Tonale,2797,Veloce,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,2,249.5,1749.5,1398.5,11.848690308590855,2-3,139899
Alfa Romeo,Giulia,3298,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,2,249.5,1749.5,1649.0,12.15425816271595,2-3,189900
Alfa Romeo,Giulia,11394,Quadrifoglio,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,3,549.5,2749.5,3798.0,12.721885810807205,2-3,334999
Alfa Romeo,GIULIETTA,50297,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,10059.4,10.595408982170255,4-6,39950
Alfa Romeo,GIULIETTA,69130,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,13826.0,10.757924157061597,4-6,46999
Alfa Romeo,GIULIETTA,49794,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,9958.8,10.691967639914864,4-6,43999
Alfa Romeo,GIULIETTA,178000,Veloce,4 door,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,7,249.5,1749.5,25428.571428571428,10.239995502805316,7-10,28000
Alfa Romeo,GIULIETTA,60390,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,12078.0,10.594156665220533,4-6,39899
Alfa Romeo,GIULIETTA,60000,Veloce,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,12000.0,10.59665973278358,4-6,40000
Alfa Romeo,GIULIETTA,132164,Standard,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,11,149.5,1249.5,12014.90909090909,9.87822102528824,10+,19500
Alfa Romeo,Stelvio,106120,S,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,7,249.5,2249.5,15160.0,10.950824090522444,7-10,56999
Alfa Romeo,Stelvio,90422,Quadrifoglio,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,8,549.5,2749.5,11302.75,11.884489021402713,7-10,144999
Alfa Romeo,Giulia,44000,Quadrifoglio,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,5,549.5,2749.5,8800.0,12.449022745701502,4-6,255000
Alfa Romeo,GIULIETTA,116000,Premium,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,11,149.5,1249.5,10545.454545454546,9.741027444837728,10+,16999
Alfa Romeo,156/159,102000,TOP,4 door,Petrol,6,Sedan,4 Seater,Left Hand,GCC Specs,17,249.5,3249.5,6000.0,10.021315031649332,10+,22500
Alfa Romeo,GIULIETTA,60000,Veloce,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,8,249.5,1749.5,7500.0,10.714439990727769,7-10,44999
Alfa Romeo,Stelvio,30000,Veloce,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,3,249.5,2249.5,10000.0,11.918390573078392,2-3,149998
Alfa Romeo,Stelvio,51,Quadrifoglio,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,2,549.5,2749.5,25.5,13.02805489573287,2-3,455000
Alfa Romeo,GIULIETTA,74435,Veloce,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,8,249.5,1749.5,9304.375,10.448743588106623,7-10,34499
Alfa Romeo,Giulia,19186,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,2,249.5,2249.5,9593.0,11.976665770490769,2-3,159000
Alfa Romeo,Giulia,39000,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,7,249.5,2249.5,5571.428571428572,11.599112335481124,7-10,109000
Alfa Romeo,GIULIETTA,80611,Veloce,5+ doors,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,5,249.5,1749.5,16122.2,10.308985993422082,4-6,29999
Alfa Romeo,GIULIETTA,39000,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,7800.0,10.645448706505872,4-6,41999
Alfa Romeo,Giulia,45000,Super,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,6,249.5,2249.5,7500.0,11.082157933374816,4-6,64999
Alfa Romeo,Stelvio,48000,Quadrifoglio,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,6,349.5,3749.5,8000.0,12.230770136157428,4-6,205000
Alfa Romeo,Giulia,17631,Quadrifoglio,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,2,549.5,2749.5,8815.5,12.703816069256568,2-3,329000
Alfa Romeo,Giulia,20370,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,2,249.5,2249.5,10185.0,11.976665770490769,2-3,159000
Alfa Romeo,Giulia,20344,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,2,249.5,2249.5,10172.0,11.976665770490769,2-3,159000
Alfa Romeo,8C,14100,Competizione,2 door,Petrol,8,Coupe,2 Seater,Left Hand,Japanese Specs,17,449.5,4000.0,829.4117647058823,14.0633084772351,10+,1281200
Alfa Romeo,GIULIETTA,56000,Turbo Full,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,7,249.5,2249.5,8000.0,10.239995502805316,7-10,28000
Alfa Romeo,Tonale,9473,Veloce,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,2,249.5,1749.5,4736.5,11.917730355182512,2-3,149899
Alfa Romeo,145/146/147,165000,TOP,2 door,Petrol,6,Hatchback,4 Seater,Left Hand,Japanese Specs,21,249.5,3249.5,7857.142857142857,10.463131911491969,10+,35000
Alfa Romeo,GIULIETTA,172000,Distinctive,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,13,149.5,,13230.76923076923,9.648659816955297,10+,15500
Alfa Romeo,Stelvio,89000,Other,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,6,249.5,,14833.333333333334,11.225243392518449,4-6,74999
Alfa Romeo,GIULIETTA,103000,Turbo Basic,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,11,149.5,2249.5,9363.636363636364,9.798182590890704,10+,17999
Alfa Romeo,GIULIETTA,314000,Turbo Basic,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,12,249.5,1749.5,26166.666666666668,9.798182590890704,10+,17999
Alfa Romeo,Giulia,124000,Super,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,8,249.5,2249.5,15500.0,10.819778284410283,7-10,49999
Alfa Romeo,Stelvio,82000,S,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,7,249.5,2249.5,11714.285714285714,11.277215789596893,7-10,79000
Alfa Romeo,GIULIETTA,55000,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,6,249.5,2249.5,9166.666666666666,10.819778284410283,4-6,49999
